feature,importance
trade_count,0.2673959931472217
total_volume,0.2135713489072316
avg_trade_size,0.1966113601485836
sentiment_value,0.1079285348402485
sentiment_lag2,0.10174768661663336
sentiment_lag1,0.10136715440389811
sentiment_category,0.011377921936183182
